timestamp,fsr_left,fsr_right,f_l,f_r,p_sum,z_score,status
4141,471,586,617.2089410492588,396.3717892560328,1013.5807303052916,-2.737105650843301,Caution
4146,628,934,641.2786309924719,410.0128953133355,1051.2915263058073,-2.5108351735116536,Caution
4151,515,754,669.1345916913124,413.11433049790304,1082.2489221892154,-2.325086117899364,Caution
4156,857,848,698.1897677406342,405.52447690763296,1103.7142446482671,-2.1962909378978344,Caution
4161,747,460,725.5094848282457,390.2850478993058,1115.7945327275515,-2.1238073830567723,Caution
4166,999,0,748.4966882728359,372.76894098931865,1121.2656292621546,-2.0909799766982533,Caution
4171,832,0,765.3684307946291,358.5400187620459,1123.9084495566751,-2.0751226553748117,Caution
4176,1002,0,775.3140192147159,351.0260450813181,1126.3400642960341,-2.0605325993135737,Caution
4182,820,0,778.5324572832448,350.3025571283146,1128.8350144115593,-2.045562521419943,Caution
4187,928,686,776.1974028459745,353.305191846211,1129.5025946921855,-2.041556938807674,Caution
4192,725,683,770.1924766196774,355.5579412930449,1125.7504179127222,-2.0640705667594754,Caution
4197,678,678,762.6599005062805,353.72379593406026,1116.3836964403408,-2.1202723117069793,Caution
4202,642,565,755.5891644129662,347.23335903173626,1102.8225234447025,-2.2016413999346094,Caution
4207,819,476,750.5884898231176,338.39232542380387,1088.9808152469213,-2.284693741787974,Caution
4212,706,65,748.8164477349058,331.5264393321911,1080.3428870670969,-2.3365226167970996,Caution
4217,781,0,750.9786520830284,331.3947030443093,1082.3733551273376,-2.3243395014581645,Caution
4222,542,0,757.3300915246954,341.38871890028497,1098.7188104249803,-2.226264298475174,Caution
4227,523,93,767.6225318507358,362.44468844204806,1130.0672202927838,-2.0381690998408364,Caution
4232,725,393,780.9236229550905,392.9387684551007,1173.8623914101913,-1.775391451938059,Caution
4237,659,465,795.3821831893716,429.38897558637,1224.7711587757417,-1.4699311510732527,Normal
4242,915,656,808.208698642052,467.55571823556454,1275.7644168776164,-1.163963893016719,Normal
4247,816,475,816.005478914628,503.2434550593353,1319.2489339739634,-0.9030502162067138,Normal
4252,1006,653,815.2659713932534,532.6911724783986,1347.957143871652,-0.7307966165532273,Normal
4257,837,599,802.9164293721564,552.9063799543333,1355.8228093264897,-0.6836014346490101,Normal
4262,1019,795,776.9695974615378,561.9303622961085,1338.8999597576462,-0.7851410905528927,Normal
4267,1005,795,737.1023440830288,558.9565539500112,1296.05889803304,-1.042193937851281,Normal
4272,782,692,684.7504572742642,544.4249162404803,1229.1753735147445,-1.4435051967854777,Normal
4277,804,673,622.8284034664952,520.1358055408249,1142.96420900732,-1.9607852177149037,Caution
4282,561,507,555.5031237200835,489.25947166767736,1044.762595387761,-2.5500097461001374,Caution
4287,566,438,487.97795694733014,456.0318394937646,944.0097964410947,-3.154541772150446,Caution
4292,319,330,426.0879960927964,425.1282156321751,851.2162117249716,-3.7113173094990795,Caution
4297,260,224,375.72824940396225,400.9534188210089,776.6816682249712,-4.1585358390472456,Caution
4302,198,236,342.19775477890107,387.0010758291679,729.198830608069,-4.443440043468988,Caution
4307,0,92,329.5646264040938,385.29632638992405,714.8609527940179,-4.529469478033663,Caution
4312,0,0,339.95033853266796,395.84430680396923,735.7946453366371,-4.403864157905506,Caution
4317,0,0,372.705975020495,416.05989160328465,788.7658666237796,-4.086028821697855,Caution
4322,446,753,424.0544016756485,440.7506589225236,864.8050605981721,-3.6297821618218826,Caution
4327,473,943,487.79407746429916,463.5420189299031,951.3360963942023,-3.1105828648008953,Caution
4332,639,789,556.6688073195211,479.24559039206076,1035.9143977115818,-2.6031002698771064,Caution
4337,999,814,623.5608874511097,485.45460523356667,1109.0154926846762,-2.1644826482071227,Caution
4342,888,510,682.4998159265504,482.7288012294757,1165.228617156026,-1.8271954027652157,Caution
4347,1020,246,729.6524790671112,473.68389661683983,1203.336375683951,-1.5985430902541033,Caution
4352,991,0,763.804029577855,461.2889796386623,1225.0930092165172,-1.4679999997694542,Normal
